"id","first_name","last_name","email","gender","ip_address","country","city","credit_card","purchases","department","was_offered_discount"
1,"Lin","Brabant","lbrabant0@printfriendly.com",NA,"211.204.33.148","Russia",NA,NA,NA,"Garden",NA
2,"Pryce","Ketley","pketley1@4shared.com","Male","132.229.121.107","Indonesia","Naikoten Dua","americanexpress",12068.28,"Outdoors",TRUE
3,"Gwenora","Crutch","gcrutch2@seesaa.net","Female","64.191.114.19","China","Songkan","visa-electron",821.01,"Home",FALSE
4,"Bryan","Jorissen","bjorissen3@chronoengine.com","Male","25.192.174.6","Guatemala","Agua Blanca","switch",10005.18,"Clothing",TRUE
5,"Trixi","McLarty","tmclarty4@vistaprint.com","Female","237.238.33.199","France","Nice","jcb",15251.57,"Games",TRUE
6,"Rosaleen","Peppard","rpeppard5@forbes.com","Female","40.15.166.213","Greece","Lávara","mastercard",4387.44,"Garden",TRUE
7,"Vergil","McAviy","vmcaviy6@so-net.ne.jp","Male","125.207.34.16","Poland","Trzcińsko Zdrój","jcb",13262.13,"Beauty",TRUE
8,"Major","Rubinfeld","mrubinfeld7@nih.gov","Male","161.148.121.230","Tajikistan","Shaydon","jcb",6158.32,"Beauty",FALSE
9,"Inesita","Tremelling","itremelling8@nature.com","Female","158.102.236.229","China","Ligonggang","jcb",3315.94,"Outdoors",FALSE
10,"Bendicty","Ertelt","bertelt9@mayoclinic.com","Male","175.95.54.235","Philippines","Bago City","jcb",12891.62,"Tools",FALSE
11,"Mair","Braune","mbraunea@netlog.com","Female","175.108.54.9","China","Chanhe","jcb",3790.7,"Beauty",TRUE
12,"Frans","Archell","farchellb@biblegateway.com","Male","18.210.107.242","Peru","Choros","maestro",12303.73,"Electronics",FALSE
13,"Brendon","Dallaway","bdallawayc@japanpost.jp","Male","230.253.12.4","Thailand","Muang Sam Sip","visa-electron",10609.13,"Industrial",TRUE
14,"Silvio","Ivankin","sivankind@elpais.com","Male","204.210.163.91","United States","Greenville","jcb",8585.72,"Music",TRUE
15,"Oliy","Firbank","ofirbanke@about.me","Female","166.109.194.1","Sweden","Ängelholm","china-unionpay",5856.38,"Garden",TRUE
16,"Giacinta","Fergyson","gfergysonf@google.co.jp","Female","240.94.69.128","China","Wuxi","mastercard",6477.56,"Movies",TRUE
17,"Valencia","Humbles","vhumblesg@bbb.org","Female","2.73.245.31","France","Draguignan","switch",8419.63,"Health",FALSE
18,"Dukey","Durn","ddurnh@t-online.de","Male","100.102.96.14","Canada","Newmarket","jcb",7148.98,"Kids",FALSE
19,"Viviene","Emmison","vemmisoni@theglobeandmail.com","Female","18.132.97.11","Portugal","Alvaiázere","mastercard",18632.11,"Music",TRUE
20,"Annalise","Paraman","aparamanj@google.cn","Female","5.216.213.140","China","Haoxin","jcb",5306.18,"Automotive",TRUE
21,"Iver","Ringe","iringek@free.fr","Male","181.36.165.214","Canada","Nackawic","visa",5993.21,"Grocery",TRUE
22,"Rich","Leteurtre","rleteurtrel@jalbum.net","Male","37.156.147.77","Indonesia","Cipeucang","diners-club-carte-blanche",14275.53,"Beauty",FALSE
23,"Krista","Steabler","ksteablerm@census.gov","Female","4.3.216.169","Poland","Turze Pole","jcb",7816.49,"Beauty",FALSE
24,"Meriel","Truter","mtrutern@paginegialle.it","Female","117.140.158.169","China","Zhaodong","maestro",6038.77,"Jewelery",FALSE
25,"Kyle","Lawty","klawtyo@webnode.com","Male","225.73.73.6","Sweden","Angered","jcb",18857.78,"Automotive",TRUE
26,"Jamima","Antczak","jantczakp@pcworld.com","Female","78.205.188.178","Hungary","Győr","maestro",3775.67,"Automotive",TRUE
27,"Nathalia","Tumielli","ntumielliq@berkeley.edu","Female","88.193.191.223","Belarus","Druya","jcb",1900.18,"Shoes",FALSE
28,"Scott","Phettis","sphettisr@economist.com","Male","244.36.13.90","Japan","Gosen","china-unionpay",7140.87,"Jewelery",TRUE
29,"Lebbie","Benediktovich","lbenediktovichs@weibo.com","Female","197.1.70.60","Sweden","Ytterby","maestro",8003.58,"Computers",FALSE
30,"Gorden","Thornthwaite","gthornthwaitet@google.de","Male","213.197.231.34","Poland","Sypniewo","jcb",4753,"Electronics",TRUE
31,"Bron","Denisot","bdenisotu@ycombinator.com","Male","109.97.19.120","Argentina","Leones","jcb",13430.1,NA,FALSE
32,"Jarvis","Bremmell","jbremmellv@ehow.com","Male","164.39.31.171","Indonesia","Paseyan","visa-electron",10724.35,"Tools",TRUE
33,"Quint","McCarney","qmccarneyw@zimbio.com","Male","173.234.190.199","China","Weiguo","visa-electron",4865.29,"Beauty",TRUE
34,"Calida","Rutley","crutleyx@wisc.edu","Female","237.46.221.129","Japan","Akune","mastercard",17121.62,"Garden",TRUE
